,IDs,Sequence,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Unnamed: 22
8012,NonAllergen_7349,mnksdgnesfaldslpenirypfgkreleilekqldrivliyqvdttyhsalkdikdqkiisllvepsfygrhhptsilvvatcngtyifdikalgliflelakileadqprkvihyshriadhllhrqrislggifdtfvavclssntripytlpeaislvfglpmekvtggcesqrnftarplthsqmrylaklvqlqhimhdhlnyshifcaevyrislefshsyyglrscdvainmapassfgfqlldsfckkadkeleqi,6.04,2.26,5.28,5.66,5.28,4.53,4.91,8.68,5.28,12.08,1.89,3.02,3.77,4.15,5.28,8.3,4.15,4.91,0.0,4.53,0
8013,NonAllergen_1498,mkeiflqisnrqdlsqdqvqavfdrilknevsesqiasflmglkikgetsdeitgivralkshatvlpetftdamcncgtggdqsysfnisttacfvlaaggirmakagnrsissksgsadvlevlginvaaspeilskaldevglafifaqtmhpamrfigparqalgiptimnlvgplanpldletqlmglyrvelqeivanaiqqlgrkraviitgpdnmdeaalygtntytlledghisqhtftyedlgmekvelsditggdakenaeillsvlrneaspylettvlnvglgffangkagtikegvelarqliadgsaleklrklqevqv,9.88,0.9,4.79,7.49,3.59,8.68,1.2,7.49,4.49,11.38,2.99,4.49,2.69,5.09,3.89,6.59,6.29,6.29,0.0,1.8,0
8016,NonAllergen_6672,mdkdnsvqekglflsswkldnskmaelfmeceeeelepwqqkveesqskddddelifvgeissskpaisnilnrcspgssskglkngsfnpaisnifkptsqhyrnpssnalvalpsfhpalkssessdgqtvskldftktspqedsgacsvsqsdstqdipssnilqprtgvdqtlglkhpstskvnsvnpkkpktsasisetrpcsssssqtapsgassqtvlsnvntssvqsapgssslrscpkcnvkfrlldplkchmkrccpdminkfletlksenskavskattdsdkeklimlvsdfyygrhegtieesqkthttfkcfsctkvlknnirfmnhmkhhlelekqnnetweshttcqhcyrqypnpfqlqchiesthtphdfstickicelsfetehmllqhmkdthkpgempyicqvcqfrssifsdvethfrsshentknllcpfclkvsrmatpymnhymrhqkkgiyrcpkcrlqfltskektehklehrtfikpkeleglppgtkviiraslgssqsrassppsstipstslqlsvpkskstttknnskvsankatttspqtvatttgkpsaskpgtgttkskakpsykqkrqrtrknkfsidlknlrchqgshmciecrskikdfsshfsthincdfckyttncnkaftnhmsshndhpskqlyifkkqsrarrgitlvclkcdfladtsgldrmakhlnqrkthtcqvvienvteravtsesasdglfk,3.64,4.18,3.91,5.53,4.04,3.37,4.31,4.04,9.97,6.87,2.29,5.12,5.39,4.72,4.04,14.42,8.36,3.77,0.4,1.62,0
8017,NonAllergen_7661,mgpdqegltykaagvdidagnelvdrirddvkrtmrpgvlgglggfgglfevpvdryrrpvlvsgtdgvgtklklaietgrhdgigidlvamcandvlvtgaeplyfldyyatgrldvevaaavirgiaegchqagaaliggetaempgmyaeghydlagfcvgvvekdeiidgsrvgagdalialaasgphsngyslirkvlerapegaatevdgqpvadllmaptriyakpvldlirnlpvhamahitggglpenlprvlpeglgaklqpwswppvfrwlqqtgqiaeaemlrtfncgvgmvlvvpaeqadaalqrlrqtgetawrlgeigtheagaprvqvvaa,12.39,1.15,6.05,6.63,1.73,13.54,2.02,4.9,2.31,10.09,2.59,1.73,5.76,3.17,6.34,1.73,4.61,9.51,1.15,2.59,0
8018,NonAllergen_3977,mkpmyrsrswrrkyvrtpggrvvihferkkpkiahcamcgrplngiprgrpvemrklpktkkrperpmphlcprcmrkvmkeqiraqls,3.37,4.49,0.0,4.49,1.12,5.62,3.37,4.49,12.36,4.49,7.87,1.12,12.36,2.25,17.98,3.37,2.25,5.62,1.12,2.25,0
8019,NonAllergen_9086,magiaaklvkdreaaeglgsheraikylnqdyealrnecleagtlfqdpsfpaipsalgfkelgpyssktrgiewkrpteicadpqfiiggatrtdicqgalgdcwllaaiasltlneeilarvvplnqsfqenyagifhfqfwqygewvevvvddrlptkdgellfvhsaegsefwsallekayakingcyealsggattegfedftggiaewyelkkpppnlfkiiqkalqkgsllgcsiditsaadseaityqklvkghaysvtgaeevessgslqklirirnpwgevewtgrwndncpswntidpeererltrrhedgefwmsfsdflrhysrleicnltpdtltsdtykkwkltkmdgnwrrgstaggcrnypntfwmnpqylikleeededeedgesgctflvgliqkhrrrqrkmgedmhtigfgiyevpeelsgqtnihlsknffltnrarersdtfinlrevlnrfklppgeyilvpstfepnkdgdfcirvfsekkadyqavddeieanleefdiseddiddgfrrlfaqlagedaeisafelqtilrrvlakrqdiksdgfsietckimvdmldsdgsgklglkefyilwtkiqkyqkiyreidvdrsgtmnsyemrkaleeagfkmpcqlhqvivarfaddqliidfdnfvrclvrletlfkifkqldpentgtieldliswlcfsvl,6.43,2.14,6.86,9.71,5.57,7.29,1.43,6.86,5.86,9.57,1.57,3.71,3.43,3.71,5.86,5.86,5.14,3.71,2.29,3.0,0
8020,NonAllergen_9189,msnvqewqqlankelsrrektvdslvhqtaegiaikplyteadldnlevtgtlpglppyvrgpratmytaqpwtirqyagfstakesnafyrrnlaagqkglsvafdlathrgydsdnprvagdvgkagvaidtvedmkvlfdqipldkmsvsmtmngavlpvlafyivaaeeqgvtpdkltgtiqndilkeylcrntyiyppkpsmriiadiiawcsgnmprfntisisgyhmgeagancvqqvaftladgieyikaaisaglkiddfaprlsfffgigmdlfmnvamlraarylwseavsgfgaqdpkslalrthcqtsgwslteqdpynnvirttiealaatlggtqslhtnafdealglptdfsariarntqiiiqeeselcrtvdplagsyyiesltdqivkqaraiiqqideaggmakaieaglpkrmieeasareqslidqgkrvivgvnkykldhedetdvleidnvmvrneqiasleriratrddaavtaalnalthaaqhnenllaaavnaarvratlgeisdalevafdrylvpsqcvtgviaqsyhqseksasefdaivaqteqfladngrrpriliakmgqdghdrgakviasaysdlgfdvdlspmfstpeeiarlavendvhvvgasslaaghktlipelvealkkwgredicvvaggvippqdyaflqergvaaiygpgtpmldsvrdvlnlisqhhd,12.32,0.98,6.58,6.16,2.94,6.86,1.96,7.0,3.64,8.4,2.52,3.78,4.06,4.9,5.46,5.88,5.6,7.0,0.84,3.08,0
8021,NonAllergen_9808,mmsesnkqqavnklteivanftamistrmpddvvdklkqlkdaetssmgkiiyhtmfdnmqkaidlnrpacqdtgeimffvkvgsrfpllgelqsilkqaveeatvkaplrhnaveifdevntgkntgsgvpwvtwdiipdnddaeievymagggctlpgrskvlmpsegyegvvkfvfenistlavnacppvlvgvgiatsvetaavlsrkailrpigsrhpnpkaaelelrleeglnrlgigpqgltgnssvmgassrhaagscrshl,8.52,1.48,4.44,7.04,2.96,8.52,1.85,5.93,5.56,8.15,4.07,5.19,5.19,2.96,4.44,7.41,5.56,8.89,0.74,1.11,0
8022,NonAllergen_1450,msqavkverretlkqkpntsqlgfgkyftdymlsydydadkgwhdlkivpygpieispaaqgvhygqsvfeglkaykrdgevalfrpeenfkrlnnslarlempqvdeaelleglkqlvdierdwipegegqslyirpfvfategalgvgashqyklliilspsgayyggetlkptkiyvedeyvravrggvgfakvagnyaasllaqtnanklgydqvlwldgveqkyieevgsmniffvengkvitpelngsilpgitrksiielaknlgyeveerrvsidelfesydkgeltevfgsgtaavispvgtlryedreivinnnetgeitqklydvytgiqngtledkngwrvvvpky,6.15,0.0,4.75,10.06,3.35,10.06,0.84,6.15,6.42,9.22,1.12,4.47,3.91,3.91,4.47,5.03,4.47,8.38,1.12,6.15,0
8023,NonAllergen_6283,mllsltqmlssrassrlflvsylllwenvvststcaekdatiqdsleklltlttfmsqvvssetaklftefnnqyaqgkryndripgtchteffdtpvnkeqslvrtpetlltlvhsllnswtnalnhlvnemstmqgdtssliskareiqakfdelttgvkivqsmigerdiatysawsglaslqssnedvrcfsfytmircllrdsrkvntylevikykmvdqnnc,4.82,2.19,4.39,6.14,3.95,2.63,1.32,3.95,4.82,12.72,3.51,5.7,1.32,4.82,4.82,11.84,10.09,6.58,1.32,3.07,0
8024,NonAllergen_6666,meisshqshllqqlneqrrqdvfcdcsilvegkvfkahrnvlfassgyfkmllsqnsketsqpttatfqafspdtftvildfvysgklsltgqnvievmsaasflqmtdvisvcktfikssldisekekdryfslsdkdansngierssfyssgwqdesssprshlspdqgtgiisgkswskynyhpasqrntqqpltkheqrkdsikkakhlrlsqpsemthyksskreartsdssshasqseeqaqmnaemdstpvsyqygqgsdvtsrsfpddlprmrfkcpycthvvkrkadlkrhlrchtgerpypcqacgkrfsrldhlsshfrtihqacklicrkckrhvtgltgqvvqegtrryrlcneclaevgidslpidleaeqhlmspsdgdkdsrwhmgedenrsyveivedgsadlviqqvddseeeeekeikpnir,4.31,2.95,6.58,7.03,3.63,4.54,4.08,4.31,6.8,6.8,2.27,2.72,3.63,6.58,6.58,13.61,4.99,4.99,0.68,2.95,0
8027,NonAllergen_3202,mrkyqariisiilamifimfwdylfyfigknpinwpvdivytavtlvsvwmlayyidekqqlvkkmkdnewkykqlseeknrimdnlqeivfqtnakgeitylnqawasitgfsisecmgtmyndyfikekhvadhintqiqnkassgmftakyvtkngtifwgevhyklyydrddqftgslgtmsditerkeaedelieinerlaresqklsitselaagiahevrnpltsvsgflqimktqypdrkdyfdiifseikridlvlsellllakpqaitfkthqlneilkqvttlldtnailsnivieknfketdgcmingdenqlkqvfiniikngieampkggvvtistaktashavisvkdegngmpqeklkqigkpfystkekgtglglpiclrilkehdgelkieseagkgsvfqvvlplksds,5.37,0.7,5.14,7.48,4.21,5.84,1.64,10.51,9.35,8.41,3.27,5.14,2.34,4.91,2.57,6.07,6.31,5.37,1.4,3.97,0
8029,NonAllergen_7384,mdvtakyeliglmaypirhslspemqnkalekaglpftymafevdndsfpaaieglkalkmrgtgvsmpnkqlaceyvdeltpaaklvgaintivnddgylrgyntdgtghiraikesgfdikgktmvllgaggastaigaqgaieglkeiklfnrrdeffdkalafaqrvnentdcvvtvtdladqqafaealasadiltngtkvgmkpleneslvndisllhpgllvtecvynphmtkllqqaqqagcktidgygmllwqgaeqftlwtgkdfpleyvkqvmgfga,10.76,1.39,5.9,6.25,4.17,9.72,1.39,4.86,6.6,10.76,3.82,4.51,3.47,4.51,2.43,3.12,6.6,5.9,0.69,3.12,0
8032,NonAllergen_5976,mddeymsleeeedncypsefddhdqmcsnaeesdlqhsreptsqvitkealvaaqkevlvkvmeflsvtenqartlliqyqwnvdklfsvytdqgkdvlfsragltvfdpsltkktmkcdicmeedlskyamtrmecghrfcndcwkehftvrinegegkrircmaykcnticdearqlvstelaekfdrfliesyvednnmvkwcpstphcgnairnikddgdvdevecscglqfcfsclseshspcsclmwklwkkkcedesetvnwmtvntklcpkcskpiqkrdgcnhmtckcgqhfcwlcgqatgrdhsyssiaghscgrykeekvrqleraqrdldrythyhyrykahidslkledklkksilkkavlnsetkdqkvfkeyswiidavnrlfrsrrilsysypfvfymfgkelfkddmsdeernikknlfedqqqqlegnverlskileepfdeydhekvvemmrhltnltavvdnlckemyecienellgplisgihniapyrskgieqaaefsassacgss,4.35,5.67,6.99,10.02,3.97,3.78,3.02,4.35,8.32,7.75,3.4,4.35,2.27,3.97,5.1,7.94,4.16,5.29,1.51,3.78,0
8033,NonAllergen_5405,meqlqaviedaferraeitprnveanlkesvaqvinmldtgklrvaekindewvtrqwvkkavllsfrmednyfikggfsnyfdkipskfadyssrdfrdggfrvvppaavrkgafiannvvlmpsyvnigayvdegtmvdtwatvgscaqvgknvhlsggvgiggvlepvqasptiiedncfigarseivegvivgensvismgvyigqstriynretgevtygripsgsvvvsgslpadngryslycavivkqvdaktrsktginellrgi,7.33,1.1,4.76,6.59,3.66,9.89,0.37,7.69,4.76,4.76,2.2,5.49,3.3,2.93,6.23,7.33,4.4,12.45,1.1,3.66,0
8034,NonAllergen_8234,miapdltmdiptelgrvhfvgiggsgmsgiarlflaaghrvtgsdsrdsdavqalrelgaeihvghdaahvgdadalvvtgalwqdnpeyvlakerglpilhrsqalawlisgqrlvavagahgkttstgmivtalleagrdpsfvnggvigglgvssapgseelfvveadesdgsfllydtsvalitnvdadhldhygsheafddafvrfasaaselvvissddpgarrvtariegrvvtfgedpaadiritdivtdgpvaftlthdgvsrraalrvpgrhnainaagayavlvglgvdpddaiaglagfsgtgrrfelhaevrgvsvyddyahhptevraaleaartvvgegriiavhqphlysrtrmmagdfarvyeeladhtivldvfgaredpipgvtgalvsecfedaghvdylpdwqeaadraaeiardgdfivtlscgdvyriipqviaalerpagspqpaassrpre,14.08,0.42,8.61,5.88,3.36,10.5,3.99,5.46,0.42,7.77,1.26,1.05,4.41,1.68,7.35,6.09,4.83,10.08,0.63,2.1,0
8038,NonAllergen_1084,mvtkvkcptcktelewgpqspfrpfcskrcqlidlgewadeekripgpinpdllpypdegeqwq,1.56,6.25,6.25,10.94,3.12,6.25,0.0,4.69,7.81,7.81,1.56,1.56,14.06,6.25,4.69,3.12,4.69,3.12,4.69,1.56,0
8039,NonAllergen_4870,mptgkqladigyktfstsmmlltvyggylcsvrvyhyfqwrraqrqaaeeqktsgim,7.02,1.75,1.75,3.51,3.51,8.77,1.75,3.51,5.26,7.02,7.02,0.0,1.75,8.77,7.02,7.02,8.77,5.26,1.75,8.77,0
8040,NonAllergen_9030,mlnhlknvdpevysaiskefkrqeehlemiasenytsqavmeaqgsvltnkyaeglphkryyggceyvdivedlaierlkklfgaeyanvqphsgsqanqavffsqlqpgdtilgmrldhgghlthgakvnvsgivfnsvqyglnpqtelidydevyrlakeykpkmivagasaysrvidfakfreiadevgallmvdmahyagliaggvypnpvpyaqfvtstthktlrgprggvilckseyakdidkwvfprlqggplmhviaakavafgealtedfkkyaeqvvknaralaeelmaeglrivsggtdshmmlvdlrplnvkgnqaeealgkanitvnknaipfdpekptvtsgirlgtaalttrgmkendmrriaknivkvlknldnekviqearddvlslcssyplypdwfkdygyge,9.72,0.71,5.21,7.35,3.08,8.06,2.61,4.98,7.11,8.77,3.08,4.74,4.27,3.55,4.27,4.74,4.03,8.29,0.47,4.98,0
8042,NonAllergen_3988,msiktikdfdfsgkralvrcdfnvplregnitddtriraalptieylksqgarvvlmshlgrpkgernlkyslmpvakrlsellgqdvkmlpdcigdevatavsnmkngdvvllenirfyrqeeencndfakklsqngdifvndafgtahrahastaglaaylpavggflmekedeflgkilknpespfvsiiggskvsskiavlesllpksnvmvigggmaytflkveghsigkslleneyidvaasflkkakeldvkvilpldhivasefkedsipeyvdaidipdgkigmdigektlrkieevlvsaktviwngplgvfefdsfskgtakvaeyvascsgitvvgggdsvaavnkfnlsekithvstgggasleylegkilpgikvlek,7.65,1.02,5.87,7.65,4.34,9.18,1.53,7.14,8.93,9.69,2.3,4.08,3.57,1.02,3.32,7.65,3.57,8.93,0.26,2.3,0
8044,NonAllergen_9036,mkicfeknfeccnpcqpkccpppcppkccpppcppkcesicidkcpntcdpccpplvddclakkleclwrqcfcdarlipefgvpcqsdgvavithtlgrglcnlkinglksqsilannsfysvevsgckwlnlyeiqlpdvpgkngckssgeiytealvklgisvegdgyrwkgsqpyclnihskaigmhpiefskkqiaaikavldyffcdnkccc,4.13,13.3,4.59,5.05,3.67,6.42,1.38,6.88,9.17,7.8,0.92,5.05,10.09,3.21,1.83,5.96,1.83,4.59,1.38,2.75,0
8045,NonAllergen_2077,mlvmrpaqaadlpqvqrlaadspvgvtslpddaerlrdkilaseasfaaevsyngeesyffvledsasgelvgcsaivasagfsepfysfrnetfvhasrslsihnkihvlslchdltgnslltsfyvqrdlvqsvyaelnsrgrllfmashperfadavvveivgysdeqgespfwnavgrnffdlnyieaeklsglksrtflaelmphypiyvpllpdaaqesmgqvhpraqitfdilmregfetdnyidifdggptlhartsgirsiaqsrvvpvkigeapksgrpylvtngqlqdfravvldldwapgkpvalsveaaealgvgegasvrlvav,10.65,0.59,5.62,7.1,5.33,6.8,2.37,4.14,2.07,10.06,1.78,2.96,5.33,3.55,5.92,9.47,2.96,9.47,0.59,3.25,0
8046,NonAllergen_4588,mteneqifwnrvlelaqsqlkqatyeffvhdarlikvdnhvatifldqmkelfweknlkdviltagfevynaqiavdyvyeedliieqqhqgqqgyteqafqqlpavqsdlnpkysfdnfiqgdenrwavaasiavantpgttynplfiwggpglgkthllnaignsvllenpnarikyitaenfinefvvhirldtmdelkekfrnldllliddiqslakktlsgtqeeffntfnalhnnnkqivltsdrtpdhlndledrlvtrfkwgltvnitppdfetrvailtnkiqeynfifpqdtieylagqfdsnvrdlegalkdislvanfkqidtitvdiaaeairarkqdgpkmtvipieeiqaqvgkfygvtvkeikatkrtqdivlarqvamflaremtdnslpkigkefggrdhstvlhaynkiknmigqdeslrieietiknkik,7.33,0.0,6.67,7.33,5.56,4.67,2.0,8.89,6.67,9.11,1.56,7.11,2.89,6.44,4.0,2.89,6.89,6.22,1.11,2.67,0
8047,NonAllergen_2177,magkppvlglafparlrggvlwkairaeaaghverewfgsgphrlkialprpeglsarphdprpvdpahgqkilsgaltldggalrlgvdgdpfdtaspsrrfavslhrfdwlpdlvavgpdgarralrliddwrrvfgkwnafswgpeclerrvhhlacaaktlaaeasdaevadlvfdlarqgrhlleitrapertleravaaglagcvlagkpgeplidaalkalvpqldamvlgdgghatrspeagvellfdlltlddalgqrgrpspealsraidrlssatrffilgdghlaafhggetvgpariaaalahddagprslnaaphsgyhkmiggsieviadcgpppvgplsvnacaqpaafeivcakdrlitscgwspeaagahafrlsdaastvsvadgsagrplsgfrakalgpwlvdgaakveakrhddvggvwldivhdgwrhlgltharrlfldavqdelrgedslsplaldpkaaegprrylpfavrfhlhpdarasiardgksvlirgpsnigwwlrndavdveiapsahfdhglarkagqivlksqvrpevgakirwkltkaeg,15.28,1.22,7.29,4.51,3.3,10.42,3.99,3.65,3.47,11.46,0.52,0.87,7.12,1.39,8.85,5.38,2.26,6.42,2.26,0.35,0
8049,NonAllergen_1682,mtvlhsvdffpsgkapvaieprlpqaafpehhhdfheivivehgtgihvfngqpytisggtvcfvrdhdrhlyehtdnlcltnvlwrspdafqflagldqllpqeqdgyypshwrvnqsvlqqvrqlvglmeragdgmdapavanreilfmqllvllrrsslmegatnndaklnqlmawledhfaeevcweavaeqfslslrtlhrqlkqhtgltpqrylnrlrlikarhllrhsdhsvteiayrcgfgdsnhfstlfrrefnwsprdirqgrdaiiq,6.83,1.44,5.76,5.76,5.4,5.76,6.47,3.96,1.44,11.87,2.16,3.96,4.32,6.47,8.27,5.4,4.32,6.47,1.8,2.16,0
8050,NonAllergen_2702,matyqpyneyssvtgggfensesrpgsgesetntrvntltpvtikqileskqdiqdgpfvshnqelhhvcfvgvvrnitdhtanifltiedgtgqievrkwsedandlaagnddssgkgygsqvaqqfeiggyvkvfgalkefggkkniqyavikpidsfnevlthhlevikchsiasgmmkqplesasnnngqslfvkddndtssgssplqrilefckkqcegkdansfavpiplisqslnldettvrnccttltdqgfiyptfddnnffal,4.76,2.2,6.23,6.59,5.49,8.42,2.56,6.23,5.49,6.23,1.1,7.33,3.66,5.86,2.2,9.16,6.96,6.59,0.37,2.56,0
8052,NonAllergen_7744,mrrinpnkleleervvavnrvakvvkggrrlrfsalvvvgdknghvgfgtgkaqevpeairkaiedakknlievpivgttiphevighfgageiilkpasegtgviaggparavlelagisdilsksigsntpinmvratfdglkqlkraedvaklrgktveellg,9.64,0.0,3.01,8.43,2.41,12.05,1.81,8.43,8.43,8.43,1.2,4.22,4.22,1.2,7.23,3.61,4.22,11.45,0.0,0.0,0
8054,NonAllergen_2913,melydltihelrdllrkeevspeevldsfykridevedkvkayvtltrdearnslaslkdgrlagiplaikdnistrgikttcsskilnnykppydatvvkrlkeeggitlgktnmdefamgsstensgfypthnpwnldhapggssggsaaavaageapgalgsdtggsirqpaafcgvvglkptygcvsryglvafassldqigpitkdvtdsalllnvisghdpmdstsvdrekedyttylkddvkgmkiglpeeyfsldfnsevkdkvmsavkelekagaiveevslpnieyalaayyiiapaeassnlarydgvrygyrsengdsvrsmftntrsegfgdevkrrimlgtyvlssgyydafylkaqkvrtlikedfervfkdydvlispttpttafklgemtdplemyqsdvftvpvniagipaisvpcgfdsnnlpiglqimgphfgegkilqtaytleqalnmktkrpkl,7.76,0.84,6.92,7.13,3.35,8.39,1.05,5.45,6.71,8.81,2.52,3.77,5.03,1.47,4.4,7.97,6.5,6.71,0.21,5.03,0
8055,NonAllergen_4035,mkkerteslvaqalknigndrymldnlvfarvkqlnagaktlvnmdpkrhklvdiaireiaegkididridern,9.46,0.0,9.46,6.76,1.35,4.05,1.35,9.46,10.81,9.46,4.05,8.11,1.35,2.7,9.46,1.35,2.7,6.76,0.0,1.35,0
8057,NonAllergen_100,mtgaevetgsqakpdkkpqeevaggaereseaplvvrpkvrpqapatsgarpktetksssrarpktetqsvsgtrhrmsgarprseaqlmsgarpktdaravggarpkteakpipgarpkgdaqawahsefgaeampraerahlsnsvtwppvnvgsatvtkskslsmntelasmgseifsgtqgqpgiepwfgpreeanmgswcyprprareetsnesadenstmssfwtreetsirswpreevntrsrhrakhqtnarskprskqdpyidslsgsedeasnpfcfwagentndmfrargrdeanarpkirtkredyfededeiykeswllpgeegnrfrrrdkeepnktlknenekdvkndetveqesrleeeviigswfwaeqetnveagasaicdaepgaeegaiggslfwteekpslgavardevrpeseeealfgswfwdrdeacfdpnptpvytaksryrdpeedlnlasrpktwdevtiefkppchglgfpsprpfiipegasgnseekaknaelgaegeeqdsvaqrdlpepefpfqydpsyrsvqeirehlkaresaqpenwsctciqcelrissaefeellllmdrirdpfiheiakiamgmrtasqftrdfirdsgvvsliealmnypssrvrtnflenmvhmappypnlnmietficqvceetlshsvnspeqltgmrmlrhltittdyhvlianyvsgflallttgdartkfhvlkmllnlsdnpmvakklfsakalsifvglfnieetndniqivikmfqnisnivksgamslldddfsleplvsafhefeelakqlqiqidnqndpeegq,8.6,1.21,4.72,11.86,4.12,5.69,1.69,4.36,4.84,5.93,2.66,4.72,6.9,3.39,7.38,8.84,5.45,4.36,1.82,1.45,0
8058,NonAllergen_2739,mtefdnltwlhgkpqgsgllkanpedfvvvedlgftpdgegehillrilkngcntrfvadalakflkiharevsfagqkdkhavteqwlcarvpgkempdfsafqlegckvleyarhkrklrlgalkgnaftlvlreisdrrdvetrlqairdggvpnyfgaqrfgiggsnlqgalrwaqsnapvrdrnkrsfwlsaarsalfnqivhqrlkkpdfnqvvdgdalqlagrgswfvatseelpelqrrvdekelmitaslpgsgewgtqraalafeqdaiaqetvlqslllrekveasrramllypqqlswnwwddvtvelrfwlpagsfatsvvrelintmgdyahiae,10.03,0.86,5.44,7.16,5.16,7.74,2.01,3.15,4.87,11.75,1.43,3.72,3.44,5.44,8.02,5.16,4.01,6.59,2.87,1.15,0
8059,NonAllergen_1206,mrtgliakklgmtrlfkedgthvpvtvlhldnvevvdartnerdgytaiqlglgnakvknvtkanrghfartkvepkrhlaefrvsedalleagtklsaahfvvgqkvdvtgqskgkgfagvmkrhnfagleashgvsishrshgstgqrqdpgkvfkgkkmaghmgdervttlnleiaavdeernlimvrgaipgaknglvlirdaikkarhadapypaatvaaag,12.33,0.0,4.85,5.29,3.08,11.01,4.85,3.52,8.81,7.49,2.64,3.96,2.64,2.2,7.05,3.52,6.17,9.69,0.0,0.88,0
8060,NonAllergen_857,miagsmvalvtpmdaqgrldwdslsklvdfhlqegtnaivavgttgesatldvsehievirrvvaqvagripviagtganstreavelttnaktagadacllvtpyynkptqeglfqhfshianavdipqilynvpgrtacdmlpetvarlstvkniigikeatgnlqrakdilasvssdflvysgddatavelmllggkgnisvtanvaprlmsdlcaaamrgdaetaraiheklmplnntlfiesnpipvkwalhemgkmpagirlpltwlseacheplrqalrqsgvlv,12.33,1.37,4.79,5.48,1.71,7.19,2.4,6.16,3.42,10.62,3.42,4.45,4.79,3.08,4.79,5.82,7.19,8.56,1.03,1.37,0
8061,NonAllergen_1120,mnirplhdrvivkrkevetksaggivltgsaaakstrgevlavgngrilengevkpldvkvgdivifndgygvksekidneevlimsesdilaivea,7.22,0.0,6.19,10.31,1.03,10.31,1.03,10.31,8.25,7.22,2.06,5.15,2.06,0.0,5.15,6.19,3.09,13.4,0.0,1.03,0
8063,NonAllergen_97,mrslivvlgptavgktkvaiflakyfqspiisvdsrqlykelpigtaapsivelnqvkhyfvaslsvtdyynaskfekeaialisnlhqkyqtiiacggsmlyldalcrgideiptidpklrmnilsvyrkegidsilrqlrthdptfynlvdlknhkrvihaleiclmtgkpysqlrcgnvkkrsfniikiglnrerqelynrisirvdkmienglleearrvypyhhfnslntvgykelfqffdgkytldfaiekikrntriysrkqiawfkkdkeinwfypnnidefetsclldtishksillt,4.89,1.63,4.56,5.54,4.56,4.23,2.61,10.42,8.47,10.42,1.63,5.54,3.26,3.26,6.19,6.51,4.89,5.21,0.65,5.54,0
8064,NonAllergen_4146,mgltvsalfsrifgkkqmrilmvgldaagkttilyklklgeivttiptigfnvetveyknicftvwdvggqdkirplwrhyfqntqglifvvdsndrervqesadelqkmlqedelrdavllvfankqdmpnampvseltdklglqhlrsrtwyvqatcatqgtglydgldwlshelskr,5.0,1.11,6.67,5.56,3.89,7.22,1.67,5.0,6.11,12.22,3.33,3.33,2.22,6.11,5.56,4.44,7.78,7.78,2.22,2.78,0
8065,NonAllergen_5705,mstsddihnttatgkcpfhqgghdqsagagtttrdwwpnqlrvdllnqhsnrsnplgedfdyrkefskldyyglkkdlkalltesqpwwpadwgsyaglfirmawhgagtyrsidgrggagrgqqrfaplnswpdnvsldkarrllwpikqkygqkiswadlfilagnvalensgfrtfgfgagredvwepdldvnwgdekawlthrhpealakaplgatemgliyvnpegpdhsgeplsaaaairatfgnmgmndeetvaliagghtlgkthgagptsnvgpdpeaapieeqglgwastygsgvgadaitsglevvwtqtptqwsnyffenlfkyewvqtrspagaiqfeavdapeiipdpfdpskkrkptmlvtdltlrfdpefekisrrflndpqafneafarawfklthrdmgpksryigpevpkedliwqdplpqpiynpteqdiidlkfaiadsglsvselvsvawasastfrggdkrggangarlalmpqrdwdvnaaavralpvlekiqkesgkasladiivlagvvgvekaasaaglsihvpfapgrvdarqdqtdiemfellepiadgfrnyrarldvsttesllidkaqqltltapemtalvggmrvlganfdsskngvftdrvgvlsndffvnlldmryewkatdeskelfegrdretgevkytasradlvfgsnsvlravaevyassdahekfvkdfvaawvkvmnldrfdll,10.61,0.14,7.58,6.06,4.82,8.82,1.79,3.86,4.82,8.68,1.79,3.86,5.51,3.31,5.65,6.2,5.37,5.92,3.03,2.2,0
8066,NonAllergen_362,mrvsrrftilaitamiflsliiciyavaahttvnvilqkqersygvicdagstgtrlfvynwvstsdseliqiepviydnkpvmkkispglstfgtkpdeaaeylrplmelaelhipeekrpytpvfifatagmrlipdeqkeavltnlrtelpkitsmqvlkehiriiegkwegiyswiavnyalgkfnrtftpdfpgtspgqqrsktvgmidmggasaqiafelpdnddfnsinveninlgcreddslfryklfvttflgygvnegirkyektlmaklkdqngtviqddcmplnlhktvtmengdnfvrrgtgnwdtcaaevkkllnpetssevckaevakcyfgavpapniplsnvemygfseywysthdvlglggqynaeniakkseqycgqrwstiqaaskknlypradeerlktqcfksawitsvlhdgfsvdkthnkfqsvstiagqevqwalgamiyhmrffplrdstrnlivkethsaseslwaplfflsavfclfvlvcakehsllcfddkrrasfgltrrqysykmlkedrtsssaflenfa,7.23,2.17,4.52,6.69,5.42,5.79,1.81,6.15,6.33,8.5,2.71,4.7,3.98,3.44,5.06,7.23,6.69,6.15,1.63,3.8,0
